A;-101;2
A;-107;2
A;-107A;1
A;-108;2
A;-110;2
A;-111;3
A;-112;1
A;-112A;1
A;-112B;1
A;-112C;1
A;-113;1
A;-114;4
A;-114A;2
A;-115;2
A;-116;2
A;-117;4
A;-118;1
A;004a;2
A;5;14
A;6;2
A;007A;2
A;007B;1
A;007C;1
A;8;14
A;008A;2
A;009B;1
A;009C;1
A;009D;1
A;009E;1
A;10;12
A;11;4
A;12;12
A;13;1
A;104;2
A;105A;2
A;105B;1
A;105C;1
A;105D;2
A;106A;2
A;106B;1
A;107;11
A;107A;2
A;108;11
A;109;1
A;109A;1
A;109B;2
A;109C;1
A;109D;1
A;109E;1
A;110;7
A;111;12
A;112;2
A;113A;2
A;113B;1
A;113C;1
A;114;1
A;204;2
A;205;4
A;206;11
A;207;4
A;208;20
A;209;1
A;209B;1
A;209C;1
A;209D;1
A;210;9
A;211;10
A;212;10
A;213;1
A;304;2
A;305;17
A;306;4
A;307;20
A;308;1
A;308B;1
A;308C;1
A;308D;1
A;309;9
A;310;4
A;311;10
A;311A;4
A;312;1
A;403;1
A;404;3
A;405;3
A;406;19 (KVS)
A;407;2
A;407A;2
A;408;4
A;409a;2
A;409b;1
A;410;2
A;411;1
A;411A;1
B;-101;2
B;-102;2
B;-103;1
B;-104;3
B;-105;2
B;-106;2
B;-107;2
B;-108;2
B;-109;2
B;-110;1
B;-111;2
B;-111A;1
B;-112;3
B;-113;23
B;-113A;1
B;-114;1
B;-115;1
B;-115A;1
B;-115B;1
B;-115C;1
B;1;5
B;2;5
B;3;5
B;4;5
B;5;5
B;005A;2
B;6;5
B;8;2
B;009A;1
B;009B;1
B;010A;1
B;011A;1
B;012A;1
B;13;1
B;101;6
B;102;10
B;102A;1
B;103;11
B;104;3
B;105;9
B;106;2
B;107;2
B;108;1
B;109;30
B;110;3
B;112;2
B;201;6
B;202;7
B;203;11
B;204;3
B;205;2
B;205A;2
B;206;3
B;207;6
B;208;2
B;209;2
B;210;2
B;211;22
B;211A;1
B;212;4
B;213A;1
B;214A;1
B;215A;1
B;216;1
B;301;5
B;302;2
B;303;10
B;304;2
B;305;10
B;306;12
B;306A;1
B;307;8
B;307A;1
B;308;2
B;309a;1
B;309b;1
B;310;3
B;311;1
B;312;9
B;401;2
C;2;4
C;3;2
C;4;4
C;6;2
C;7;2
C;8;1
C;9;1
C;10;1
C;11;1
C;12;1
C;13;2
C;14;1
C;15;1
C;102;1
C;103;1
C;104;2
C;105;2
C;106;1
C;107;2
C;108;2
C;110;5
C;111;7
C;112;1
C;202;1
C;203;1
C;204;1
C;205;2
C;206;2
C;207;2
C;208;2
C;211;7
C;212;7
C;302;1
C;303;1
C;304;2
C;305;2
C;306;3
C;307;2
C;310;5
C;311;5
C;312;3
C;402;1
C;403;1
C;404;2
C;405;2
C;406;2
C;407;1
C;408;2
C;411;11
C;412;2
F;1;13
F;001A;1
F;101;1
E;-101;5
E;-102;2
E;-103;2
E;-104;4
E;-105;2
E;-106;1
E;-107;1
E;-108;2
E;-109;1
E;-110;3
E;-111;2
E;-112;2
E;-112A;1
E;-114;2
E;-115A;1
E;-116;1
E;-117;3
E;-118;3
E;-119;2
E;-120;1
E;1;30
E;2;3
E;3;3
E;4;3
E;101;3
E;102;3
E;103;3
E;201;3
E;202;3
E;203;3
G;-102;1
G;-102A;1
G;-103;2
G;-104;2
G;-105;2
G;-106;2
G;-107;2
G;-107A;2
G;-108;4
G;-109;2
G;-110;1
G;-111;2
G;-112;2
G;-112A;1
G;-113;1
G;-116;4
G;-118;2
G;-119;4
G;-120;1
G;-120A;1
G;-121;2
G;-122;1
G;-125;1
G;-126;4
G;-127;1
G;-128;1
G;-128A;1
G;-130;2
G;-130A;1
